Customer_ID,Product_Name,Price
1,Keyboard,1500
2,Mouse,1000
3,Headphones,2000
4,Smartphone,25000
5,Smartwatch,5000
6,Headphones,2000
7,Smartphone,25000
8,Smartphone,25000
9,Smartphone,25000
10,Keyboard,1500
11,Keyboard,1500
12,Gaming Console,40000
13,Keyboard,1500
14,Bluetooth Speaker,3500
15,Smartphone,25000
16,Smartwatch,5000
17,Mouse,1000
18,Gaming Console,40000
19,Laptop,75000
20,Bluetooth Speaker,3500
21,Monitor,15000
22,Laptop,75000
23,Gaming Console,40000
24,Mouse,1000
25,Gaming Console,40000
26,Monitor,15000
27,Mouse,1000
28,Smartwatch,5000
29,Monitor,15000
30,Gaming Console,40000
31,Laptop,75000
32,Keyboard,1500
33,Smartphone,25000
34,Keyboard,1500
35,Keyboard,1500
36,Monitor,15000
37,Gaming Console,40000
38,Laptop,75000
39,Mouse,1000
40,Smartphone,25000
41,Headphones,2000
42,Keyboard,1500
43,Monitor,15000
44,Headphones,2000
45,Monitor,15000
46,Monitor,15000
47,Smartphone,25000
48,Monitor,15000
49,Gaming Console,40000
50,Gaming Console,40000
51,Monitor,15000
52,Tablet,30000
53,Keyboard,1500
54,Headphones,2000
55,Keyboard,1500
56,Mouse,1000
57,Smartwatch,5000
58,Laptop,75000
59,Mouse,1000
60,Bluetooth Speaker,3500
61,Keyboard,1500
62,Gaming Console,40000
63,Bluetooth Speaker,3500
64,Gaming Console,40000
65,Monitor,15000
66,Smartwatch,5000
67,Smartphone,25000
68,Bluetooth Speaker,3500
69,Mouse,1000
70,Headphones,2000
71,Headphones,2000
72,Bluetooth Speaker,3500
73,Smartwatch,5000
74,Smartwatch,5000
75,Smartwatch,5000
76,Keyboard,1500
77,Smartphone,25000
78,Smartwatch,5000
79,Monitor,15000
80,Headphones,2000
81,Headphones,2000
82,Monitor,15000
83,Gaming Console,40000
84,Monitor,15000
85,Smartwatch,5000
86,Smartphone,25000
87,Laptop,75000
88,Mouse,1000
89,Headphones,2000
90,Keyboard,1500
91,Keyboard,1500
92,Gaming Console,40000
